releaseday,creators,title,ship,tags,,,,,,
2010-10-30,Runamatu,Mami's Breasts,no ship,Comedy,Ecchi,Full colour,,,,
2011-03-15,Miyasumi,My One and Only Wish,Homura x Madoka,Tragedy,Yuri,,,,,
2011-03-16,Shinoasa,Leave It to You,Kyouko x Sayaka,Comedy,Yuri,,,,,
2011-03-18,Birman h,We Returned Alive 2,Kyouko x Sayaka,Yuri,,,,,,
2011-03-19,Hana Azuki,And That's the Dream Seen in That Split Second,Kyouko x Sayaka,Full colour,Text,Yuri,,,,
2011-03-19,Tama II,Witch of the Sleepless Forest,Homura x Madoka,Full colour,Lots of sex,NSFW,Yuri,,,
2011-04-12,Nekotofu,"Damn it, Kyouko!",Kyouko x Sayaka,Body swap,Comedy,Yuri,,,,
2011-04-15,Yatsuharu,Snow-White,Kyouko x Sayaka,Comedy,Yuri,,,,,
2011-04-21,Zwolf79322,Saya-Kyou,Kyouko x Sayaka,Yuri,,,,,,
2011-05-07,Aoki Ume,RKGKMDK,Homura x Madoka,Kyouko x Sayaka,Comedy,Yuri,,,,
2011-05-12,Ponjiyuusu,Mami-san's Manga,no ship,Comedy,,,,,,
2011-05-12,Kasumi,Cute Idiotic Couple,Kyouko x Sayaka,Comedy,Ecchi,Lots of kissing,Wrestling,Yuri,,
2011-05-12,Ayanero Taicho,The Visionary Replay of HomuHomu,Homura x Madoka,Creepy,NSFW,Yandere,Yuri,,,
2011-05-16,Kodou,Last Episode~KyouSaya's Epilogue,Kyouko x Sayaka,Yuri,,,,,,
2011-05-20,Mizuki Maya,I Want to Become a Magical Girl,no ship,4-koma,Comedy,,,,,
2011-05-21,Kasumi,Prepare Yourself!,Kyouko x Sayaka,Yuri,,,,,,
2011-05-26,Mizuki Maya,Don't Become A Magical Girl!,no ship,4-koma,Comedy,,,,,
2011-05-26,Chening1989,Family,Homura x Madoka,Kyouko x Sayaka,Comedy,Ecchi,Lolicon,Yuri,,
2011-05-28,Tyaka,Ahn Ahn,Kyouko x Sayaka,Full colour,Pocky game,Yuri,,,,
2011-05-31,Gakubuchi Aiko,Thanks Kyuubey,Kyouko x Sayaka,4-koma,Comedy,,,,,
2011-05-31,Ozaki,Gym Uniform,Homura x Madoka,Comedy,Yuri,,,,,
2011-06-01,Aaria Ooria,Whirling - The Last Love Song,Homura x Madoka,Tragedy,Yuri,,,,,
2011-06-03,Rokudena-shi,Kyouko Sayaka,Kyouko x Sayaka,Body swap,Yuri,,,,,
2011-06-15,Ore no Machine,Crossdressing Magica,Madoka x Mami,Anal,BDSM,Cross-dressing,Lots of sex,NSFW,Watersports,Yaoi
2011-06-29,Hayashi Ichirou,Mutual Confession,Homura x Madoka,Blushing,Comedy,Yuri,,,,